Date,Open,High,Low,Close
2018-01-02,63.7175,63.7175,63.4375,63.445
2018-01-03,63.68,63.685,63.45,63.535
2018-01-04,63.48,63.505,63.365,63.3925
2018-01-05,63.335,63.415,63.325,63.388
2018-01-08,63.3275,63.445,63.285,63.3875
2018-01-09,63.3475,63.725,63.3475,63.6825
2018-01-10,63.675,63.835,63.5525,63.615
2018-01-11,63.7425,63.795,63.6425,63.6575
2018-01-12,63.77,63.77,63.48,63.6225
2018-01-15,63.5375,63.5375,63.34,63.455
2018-01-16,63.385,64.105,63.385,64.04
2018-01-17,63.7,64.0425,63.7,63.845
2018-01-18,63.935,63.935,63.745,63.8375
2018-01-19,63.83,63.83,63.65,63.79
2018-01-22,63.95,63.95,63.715,63.84
2018-01-23,63.8975,63.8975,63.74,63.79
2018-01-24,63.87,63.87,63.62,63.67
2018-01-25,63.6725,63.6725,63.475,63.58
2018-01-29,63.51,63.585,63.48,63.5275
2018-01-30,63.52,63.805,63.52,63.63
2018-01-31,63.735,63.735,63.595,63.595
2018-02-01,63.6825,63.91,63.55,63.84
2018-02-02,63.625,64.1625,63.625,64.06
2018-02-05,64.115,64.1325,64.01,64.065
2018-02-06,64.02,64.34,64.02,64.2
2018-02-07,64.13,64.285,64.1,64.285
2018-02-08,64.165,64.315,64.1475,64.2525
2018-02-09,64.36,64.425,64.29,64.415
2018-02-12,64.2575,64.3225,64.23,64.3175
2018-02-14,64.125,64.1875,64.04,64.065
2018-02-15,64.1325,64.1325,63.865,63.93
2018-02-16,63.92,64.195,63.84,64.175
2018-02-20,64.24,64.8525,64.24,64.7875
2018-02-21,64.5125,64.89,64.5125,64.73
2018-02-22,64.85,65.1,64.85,65.005
2018-02-23,64.98,64.98,64.71,64.7325
2018-02-26,64.8625,64.8625,64.6225,64.6975
2018-02-27,64.92,64.9525,64.82,64.87
2018-02-28,64.885,65.305,64.885,65.145
2018-03-01,65.15,65.24,65.1,65.22
2018-03-05,65.02,65.13,65.01,65.12
2018-03-06,65.025,65.115,64.94,65.08
2018-03-07,64.9925,65,64.87,64.88
2018-03-08,64.975,65.1,64.89,65.0825
2018-03-09,64.945,65.1875,64.945,65.155
2018-03-12,64.975,65.025,64.96,65.02
2018-03-13,64.94,65,64.8425,64.87
2018-03-14,64.9775,65.025,64.84,64.84
2018-03-15,64.92,64.975,64.8175,64.91
2018-03-16,64.9,64.98,64.84,64.975
2018-03-19,65.025,65.13,65.015,65.11
2018-03-20,65.225,65.24,65.1575,65.19
2018-03-21,65.21,65.2225,65.19,65.205
2018-03-22,65.11,65.15,65.02,65.12
2018-03-23,65.1425,65.1525,64.975,65.0175
2018-03-26,65.145,65.145,64.7975,64.83
2018-03-27,64.895,64.895,64.7475,64.89
2018-03-28,64.9475,65.135,64.93,65.135
2018-04-03,65.085,65.125,64.98,65.035
2018-04-04,65.045,65.115,64.9,65.105
2018-04-05,64.975,65.0925,64.9475,64.99
2018-04-06,65.0075,65.03,64.935,64.98
2018-04-09,64.86,65.01,64.86,65.01
2018-04-10,64.91,65.0175,64.89,65.01
2018-04-11,65.105,65.28,65.025,65.185
2018-04-12,65.3525,65.435,65.32,65.35
2018-04-13,65.255,65.28,65.2,65.255
2018-04-16,65.225,65.46,65.225,65.37
2018-04-17,65.4175,65.685,65.4175,65.665
2018-04-18,65.7425,65.76,65.63,65.65
2018-04-19,65.67,65.82,65.67,65.76
2018-04-20,65.79,66.095,65.7575,66.0325
2018-04-23,65.99,66.4675,65.99,66.4575
2018-04-24,66.2,66.45,66.2,66.3475
2018-04-25,66.3175,66.8025,66.3175,66.7725
2018-04-26,66.675,66.87,66.675,66.785
2018-04-27,66.8575,66.8575,66.6675,66.745
2018-05-02,66.6775,66.77,66.63,66.675
2018-05-03,66.575,66.665,66.54,66.57
2018-05-04,66.635,66.885,66.63,66.87
2018-05-07,66.735,67.15,66.735,67.145
2018-05-08,67.095,67.275,66.985,67.0725
2018-05-09,67.16,67.47,67.16,67.32
2018-05-10,67.365,67.43,67.23,67.2675
2018-05-11,67.3725,67.3725,67.1475,67.27
2018-05-14,67.23,67.515,67.215,67.5025
2018-05-15,67.2075,67.9075,67.2075,67.865
2018-05-16,67.875,67.9,67.75,67.8875
2018-05-17,67.61,67.795,67.61,67.7
2018-05-18,67.67,68.08,67.67,68.0425
2018-05-21,68.11,68.13,68.02,68.0725
2018-05-22,68.08,68.08,67.93,68.025
2018-05-23,67.99,68.38,67.99,68.37
2018-05-24,68.195,68.4125,68.195,68.325
2018-05-25,68.215,68.2775,67.71,67.77
2018-05-28,67.405,67.4725,67.2925,67.3475
2018-05-29,67.675,67.985,67.675,67.85
2018-05-30,67.73,67.8525,67.425,67.4375
2018-05-31,67.355,67.58,67.35,67.43
2018-06-01,67.22,67.2975,67.005,67.12
2018-06-04,67.15,67.15,66.945,67.0725
2018-06-05,67.07,67.2175,67.07,67.15
2018-06-06,67.18,67.18,66.955,66.955
2018-06-07,67.05,67.14,66.99,67.07
2018-06-08,67.105,67.715,67.105,67.6975
2018-06-11,67.43,67.44,67.28,67.4225
2018-06-12,67.38,67.505,67.3575,67.385
2018-06-13,67.445,67.7,67.445,67.635
2018-06-14,67.59,67.72,67.575,67.6575
2018-06-15,67.93,68.025,67.89,67.95
2018-06-18,68.0925,68.0925,67.94,68.05
2018-06-19,68.0475,68.3375,67.99,68.325
2018-06-20,68.115,68.175,68.02,68.16
2018-06-21,68.06,68.23,68.06,68.155
2018-06-22,68.165,68.165,67.705,67.7875
2018-06-25,68.0825,68.165,68.06,68.08
2018-06-26,68.08,68.21,68.0725,68.155
2018-06-27,68.17,68.665,68.17,68.565
2018-06-28,68.53,69.0575,68.53,68.85
2018-06-29,68.5875,68.61,68.36,68.44
2018-07-02,68.9475,68.9475,68.42,68.73
2018-07-03,68.91,68.9475,68.59,68.65
2018-07-04,68.7575,68.7575,68.475,68.6725
2018-07-05,68.8325,69,68.69,68.97
2018-07-06,68.855,68.965,68.8125,68.9425
2018-07-09,68.85,68.85,68.6,68.69
2018-07-10,68.7825,68.84,68.735,68.79
2018-07-11,68.805,68.89,68.7425,68.8025
2018-07-12,68.85,68.88,68.505,68.61
2018-07-13,68.6425,68.6425,68.33,68.435
2018-07-16,68.415,68.705,68.415,68.64
2018-07-17,68.3575,68.4475,68.27,68.38
2018-07-18,68.45,68.62,68.44,68.565
2018-07-19,68.54,69.06,68.54,68.97
2018-07-20,68.5325,68.9925,68.53,68.8425
2018-07-23,68.67,68.84,68.67,68.8225
2018-07-24,68.9225,69.0825,68.9025,68.9525
2018-07-25,68.895,68.905,68.685,68.705
2018-07-26,68.68,68.7525,68.62,68.65
2018-07-27,68.58,68.75,68.53,68.745
2018-07-30,68.76,68.7725,68.63,68.665
2018-07-31,68.73,68.73,68.5575,68.625
2018-08-01,68.5175,68.6225,68.505,68.525
2018-08-02,68.3575,68.7,68.3275,68.685
2018-08-03,68.7275,68.84,68.6675,68.765
2018-08-06,68.705,68.745,68.5625,68.705
2018-08-07,68.67,68.88,68.655,68.67
2018-08-08,68.6175,68.7025,68.575,68.68
2018-08-09,68.5175,68.6625,68.5175,68.6325
2018-08-10,68.7775,69.01,68.77,68.88
2018-08-13,69.5275,69.845,69.41,69.835
2018-08-14,69.79,70.03,69.71,69.85
2018-08-16,70.19,70.385,70.15,70.2925
2018-08-20,69.835,69.86,69.5975,69.725
